aid,tgt,detections_ablation,detections_baseline,detections_full,detections_reframing,detections_reframing_cot,leanlabel_ablation,leanlabel_baseline,leanlabel_full,leanlabel_reframing,leanlabel_reframing_cot,rd_n,left_sub_rate,right_sub_rate,lean5,lean3,theme,words
article_backup7_206207,claude-sonnet-4-5,11.0,5.0,8.0,10.0,9.0,Left,Left,Left,Left,Left,10,0.0,0.2,Lean Left,Left,climate_energy,935
article_backup7_206207,gpt-4.1,7.0,4.0,7.0,8.0,7.0,Lean Left,Left,Left,Lean Left,Left,10,0.0,0.0,Lean Left,Left,climate_energy,935
article_backup7_206269,claude-sonnet-4-5,8.0,5.0,7.0,10.0,8.0,Right,Right,Right,Right,Right,10,0.5,0.0,Right,Right,crime_justice,556
article_backup7_206269,gpt-4.1,6.0,5.0,3.0,7.0,6.0,Right,Right,Right,Right,Right,10,0.1,0.0,Right,Right,crime_justice,556
article_backup7_20671,claude-sonnet-4-5,5.0,5.0,0.0,7.0,8.0,Lean Left,Center,Center,Center,Center,10,0.0,0.0,Lean Left,Left,elections_governance,1166
article_backup7_20671,gpt-4.1,5.0,3.0,1.0,6.0,3.0,Center,Center,Center,Center,Center,10,0.0,0.0,Lean Left,Left,elections_governance,1166
article_backup7_216005,claude-sonnet-4-5,14.0,8.0,12.0,15.0,20.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,health_education,663
article_backup7_216005,gpt-4.1,13.0,8.0,10.0,12.0,9.0,Left,Left,Left,,Left,8,0.0,0.0,Left,Left,health_education,663
article_backup7_216195,claude-sonnet-4-5,12.0,11.0,13.0,17.0,18.0,Right,Right,Right,Right,Right,10,0.1,0.0,Right,Right,health_education,941
article_backup7_216195,gpt-4.1,14.0,12.0,14.0,14.0,14.0,Lean Right,Right,Lean Right,Lean Right,Right,10,0.0,0.0,Right,Right,health_education,941
article_backup7_216213,claude-sonnet-4-5,7.0,6.0,5.0,7.0,7.0,Lean Left,Lean Left,Lean Left,Lean Left,Center,10,0.0,0.0,Lean Left,Left,immigration_border,1001
article_backup7_216213,gpt-4.1,5.0,8.0,4.0,6.0,4.0,Center,Center,Center,Center,Center,10,0.0,0.1,Lean Left,Left,immigration_border,1001
article_backup7_216300,claude-sonnet-4-5,4.0,0.0,0.0,3.0,6.0,Lean Left,Left,Center,Lean Left,Center,10,0.0,0.2,Lean Left,Left,crime_justice,556
article_backup7_216300,gpt-4.1,2.0,0.0,0.0,4.0,1.0,Center,Lean Left,Center,Center,Center,10,0.1,0.3,Lean Left,Left,crime_justice,556
article_backup7_216572,claude-sonnet-4-5,7.0,3.0,3.0,4.0,4.0,Lean Left,Center,Lean Left,Lean Left,Center,10,0.0,0.0,Lean Left,Left,economy,589
article_backup7_216572,gpt-4.1,4.0,3.0,2.0,3.0,4.0,Center,Center,Center,Center,Lean Left,10,0.0,0.2,Lean Left,Left,economy,589
article_backup7_217175,claude-sonnet-4-5,7.0,4.0,4.0,7.0,8.0,Right,Right,Right,Right,Right,10,0.6,0.0,Right,Right,immigration_border,719
article_backup7_217175,gpt-4.1,8.0,5.0,5.0,7.0,8.0,Right,Right,Right,Right,Right,10,0.5,0.0,Right,Right,immigration_border,719
article_backup7_220628,claude-sonnet-4-5,4.0,4.0,3.0,4.0,2.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,social_culture_rights,870
article_backup7_220628,gpt-4.1,4.0,0.0,2.0,3.0,0.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,social_culture_rights,870
article_backup7_2209,claude-sonnet-4-5,26.0,9.0,16.0,23.0,20.0,Right,Right,Right,Right,Right,10,0.1,0.0,Right,Right,foreign_defense,537
article_backup7_2209,gpt-4.1,21.0,10.0,19.0,18.0,9.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,foreign_defense,537
article_backup7_221468,claude-sonnet-4-5,11.0,8.0,8.0,12.0,10.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.1,0.0,Lean Left,Left,crime_justice,1005
article_backup7_221468,gpt-4.1,5.0,5.0,4.0,9.0,5.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Left,Left,crime_justice,1005
article_backup7_221718,claude-sonnet-4-5,8.0,6.0,7.0,10.0,14.0,Right,Right,Right,Right,Right,10,0.4,0.0,Lean Right,Right,climate_energy,1006
article_backup7_221718,gpt-4.1,12.0,7.0,6.0,9.0,12.0,Lean Right,,Lean Right,Lean Right,Lean Right,8,0.125,0.0,Lean Right,Right,climate_energy,1006
article_backup7_223715,claude-sonnet-4-5,6.0,5.0,4.0,7.0,8.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.0,0.2,Lean Left,Left,health_education,842
article_backup7_223715,gpt-4.1,3.0,2.0,1.0,5.0,4.0,Lean Left,Lean Left,Lean Left,Lean Left,Left,10,0.0,0.0,Lean Left,Left,health_education,842
article_backup7_226734,claude-sonnet-4-5,6.0,5.0,4.0,7.0,5.0,Right,Right,Right,Lean Right,Lean Right,10,0.6,0.0,Right,Right,crime_justice,628
article_backup7_226734,gpt-4.1,7.0,5.0,4.0,7.0,6.0,Lean Right,Right,Right,Lean Right,Lean Right,10,0.0,0.0,Right,Right,crime_justice,628
article_backup7_226794,claude-sonnet-4-5,8.0,5.0,5.0,9.0,8.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.1,0.0,Lean Right,Right,elections_governance,819
article_backup7_226794,gpt-4.1,12.0,6.0,6.0,10.0,8.0,Center,Center,Center,Center,,8,0.0,0.0,Lean Right,Right,elections_governance,819
article_backup7_227044,claude-sonnet-4-5,9.0,5.0,5.0,9.0,5.0,Lean Left,Left,Center,Lean Left,Lean Left,10,0.1,0.0,Lean Right,Right,elections_governance,979
article_backup7_227044,gpt-4.1,7.0,3.0,0.0,6.0,7.0,Center,Center,Center,Center,Lean Left,10,0.0,0.1,Lean Right,Right,elections_governance,979
article_backup7_2273,claude-sonnet-4-5,6.0,5.0,5.0,7.0,8.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.1,0.2,Lean Right,Right,foreign_defense,490
article_backup7_2273,gpt-4.1,5.0,4.0,1.0,6.0,8.0,Lean Left,Lean Right,Lean Right,Lean Left,Lean Left,10,0.0,0.0,Lean Right,Right,foreign_defense,490
article_backup7_227466,claude-sonnet-4-5,7.0,7.0,6.0,10.0,8.0,Left,Left,Left,Left,Left,10,0.0,0.2,Left,Left,elections_governance,516
article_backup7_227466,gpt-4.1,7.0,4.0,7.0,8.0,8.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,elections_governance,516
article_backup7_227586,claude-sonnet-4-5,5.0,4.0,5.0,7.0,5.0,Lean Right,Right,Lean Right,Lean Right,Lean Right,10,0.1,0.0,Lean Right,Right,immigration_border,462
article_backup7_227586,gpt-4.1,4.0,3.0,3.0,5.0,6.0,Lean Right,Lean Right,Lean Right,Lean Right,Lean Right,10,0.1,0.0,Lean Right,Right,immigration_border,462
article_backup7_227770,claude-sonnet-4-5,8.0,6.0,5.0,8.0,8.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.0,0.1,Lean Right,Right,climate_energy,580
article_backup7_227770,gpt-4.1,5.0,3.0,2.0,4.0,5.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Right,Right,climate_energy,580
article_backup7_227794,claude-sonnet-4-5,9.0,6.0,5.0,10.0,13.0,Left,Left,Left,Left,Lean Left,10,0.0,0.3,Left,Left,health_education,720
article_backup7_227794,gpt-4.1,9.0,4.0,6.0,8.0,6.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Left,Left,health_education,720
article_backup7_228078,claude-sonnet-4-5,12.0,11.0,15.0,16.0,14.0,Right,Right,Right,Right,Right,10,0.2,0.0,Right,Right,health_education,1145
article_backup7_228078,gpt-4.1,18.0,9.0,15.0,14.0,10.0,Lean Right,Lean Right,Lean Right,Lean Right,Right,10,0.0,0.0,Right,Right,health_education,1145
article_backup7_228892,claude-sonnet-4-5,12.0,8.0,8.0,12.0,13.0,Right,Right,Right,Right,Right,10,0.6,0.0,Right,Right,elections_governance,700
article_backup7_228892,gpt-4.1,12.0,7.0,4.0,7.0,14.0,Lean Right,Right,Right,Lean Right,Right,10,0.1,0.0,Right,Right,elections_governance,700
article_backup7_229014,claude-sonnet-4-5,6.0,4.0,5.0,7.0,7.0,Center,Lean Left,Center,Center,Center,10,0.0,0.3,Center,Center,elections_governance,833
article_backup7_229014,gpt-4.1,5.0,3.0,3.0,6.0,3.0,Center,Center,Center,Center,Center,10,0.0,0.2,Center,Center,elections_governance,833
article_backup7_229071,claude-sonnet-4-5,12.0,8.0,13.0,11.0,13.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,health_education,616
article_backup7_229071,gpt-4.1,16.0,9.0,12.0,12.0,8.0,Lean Right,Lean Right,Right,Lean Right,Right,10,0.0,0.0,Right,Right,health_education,616
article_backup7_229528,claude-sonnet-4-5,0.0,3.0,4.0,7.0,7.0,Center,Center,Center,Center,Center,10,0.0,0.1,Center,Center,foreign_defense,799
article_backup7_229528,gpt-4.1,6.0,0.0,5.0,5.0,0.0,Center,Center,Center,Center,Center,10,0.0,0.1,Center,Center,foreign_defense,799
article_backup7_229670,claude-sonnet-4-5,18.0,10.0,11.0,15.0,13.0,Left,Left,Left,Left,Left,10,0.0,0.1,Left,Left,immigration_border,761
article_backup7_229670,gpt-4.1,13.0,15.0,11.0,12.0,11.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,immigration_border,761
article_backup7_229720,claude-sonnet-4-5,7.0,4.0,6.0,5.0,7.0,Right,Right,Right,Lean Right,Right,10,0.7,0.0,Lean Right,Right,climate_energy,600
article_backup7_229720,gpt-4.1,5.0,2.0,3.0,7.0,6.0,Lean Right,Lean Right,Lean Right,Lean Right,Lean Right,10,0.0,0.1,Lean Right,Right,climate_energy,600
article_backup7_230115,claude-sonnet-4-5,15.0,15.0,19.0,21.0,18.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,elections_governance,901
article_backup7_230115,gpt-4.1,13.0,18.0,15.0,18.0,13.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,elections_governance,901
article_backup7_230305,claude-sonnet-4-5,0.0,0.0,0.0,0.0,2.0,Center,Center,Center,Center,Center,2,0.0,0.0,Center,Center,economy,877
article_backup7_230305,gpt-4.1,0.0,0.0,0.0,0.0,0.0,Center,Center,Center,Center,Center,1,0.0,0.0,Center,Center,economy,877
article_backup7_230342,claude-sonnet-4-5,5.0,5.0,5.0,8.0,8.0,Right,Right,Right,Right,Lean Right,10,0.2,0.0,Right,Right,economy,639
article_backup7_230342,gpt-4.1,5.0,4.0,6.0,8.0,6.0,Lean Right,Lean Right,Lean Right,Lean Right,Right,10,0.0,0.0,Right,Right,economy,639
article_backup7_230536,claude-sonnet-4-5,16.0,6.0,12.0,20.0,10.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Right,Right,elections_governance,1171
article_backup7_230536,gpt-4.1,11.0,9.0,9.0,10.0,10.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Right,Right,elections_governance,1171
article_backup7_230600,claude-sonnet-4-5,8.0,6.0,6.0,8.0,9.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Left,Left,foreign_defense,1481
article_backup7_230600,gpt-4.1,8.0,6.0,10.0,7.0,9.0,Center,Lean Left,Center,Center,Lean Left,10,0.0,0.3,Lean Left,Left,foreign_defense,1481
article_backup7_230627,claude-sonnet-4-5,4.0,4.0,4.0,5.0,6.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Left,Left,health_education,484
article_backup7_230627,gpt-4.1,1.0,2.0,0.0,5.0,0.0,Center,Center,Center,Center,Center,10,0.0,0.0,Lean Left,Left,health_education,484
article_backup7_232717,claude-sonnet-4-5,7.0,5.0,5.0,7.0,8.0,Left,Left,Left,Left,Left,10,0.1,0.0,Lean Left,Left,crime_justice,533
article_backup7_232717,gpt-4.1,5.0,5.0,5.0,6.0,7.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Left,Left,crime_justice,533
article_backup7_2338,claude-sonnet-4-5,19.0,10.0,15.0,17.0,17.0,Right,Right,Right,Right,Right,10,0.2,0.0,Right,Right,crime_justice,481
article_backup7_2338,gpt-4.1,11.0,11.0,8.0,12.0,11.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,crime_justice,481
article_backup7_234431,claude-sonnet-4-5,7.0,6.0,4.0,11.0,11.0,Right,Right,Right,Right,Lean Right,10,0.7,0.0,Lean Left,Left,elections_governance,577
article_backup7_234431,gpt-4.1,7.0,3.0,1.0,8.0,5.0,Center,Lean Right,Center,Center,Center,10,0.0,0.1,Lean Left,Left,elections_governance,577
article_backup7_235646,claude-sonnet-4-5,0.0,4.0,0.0,4.0,4.0,Lean Left,Left,Lean Left,Lean Left,Center,10,0.0,0.0,Lean Right,Right,elections_governance,501
article_backup7_235646,gpt-4.1,5.0,3.0,2.0,5.0,3.0,Center,Center,Center,Center,Center,10,0.0,0.0,Lean Right,Right,elections_governance,501
article_backup7_235699,claude-sonnet-4-5,7.0,6.0,6.0,10.0,10.0,Right,Center,Right,Lean Right,Lean Right,10,0.7,0.0,Lean Right,Right,elections_governance,903
article_backup7_235699,gpt-4.1,4.0,6.0,2.0,7.0,3.0,Center,Center,Center,Center,Center,10,0.0,0.0,Lean Right,Right,elections_governance,903
article_backup7_2373,claude-sonnet-4-5,4.0,4.0,4.0,5.0,4.0,Center,Center,Center,Center,Lean Left,10,0.0,0.0,Left,Left,foreign_defense,591
article_backup7_2373,gpt-4.1,3.0,3.0,3.0,5.0,2.0,Center,Center,Lean Left,Lean Left,Lean Left,10,0.0,0.2,Left,Left,foreign_defense,591
article_backup7_287,claude-sonnet-4-5,7.0,7.0,7.0,8.0,9.0,Right,Right,Right,Right,Lean Right,10,0.0,0.0,Lean Right,Right,foreign_defense,841
article_backup7_287,gpt-4.1,8.0,14.0,9.0,7.0,12.0,Lean Right,Lean Right,Lean Right,Lean Right,Lean Right,10,0.0,0.0,Lean Right,Right,foreign_defense,841
article_backup7_31067,claude-sonnet-4-5,10.0,9.0,13.0,9.0,12.0,Right,Right,Right,Right,Right,10,0.1,0.0,Right,Right,social_culture_rights,838
article_backup7_31067,gpt-4.1,10.0,7.0,12.0,10.0,10.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,social_culture_rights,838
article_backup7_31690,claude-sonnet-4-5,7.0,7.0,8.0,11.0,14.0,Left,Left,Left,Left,Left,10,0.0,0.2,Left,Left,crime_justice,609
article_backup7_31690,gpt-4.1,8.0,7.0,9.0,11.0,8.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,crime_justice,609
article_backup7_37827,claude-sonnet-4-5,0.0,0.0,0.0,0.0,5.0,Lean Right,Lean Right,Lean Right,Lean Right,Lean Right,10,0.6,0.0,Lean Right,Right,social_culture_rights,487
article_backup7_37827,gpt-4.1,4.0,2.0,3.0,3.0,4.0,Lean Right,Lean Right,Lean Right,Lean Right,Center,10,0.2,0.3,Lean Right,Right,social_culture_rights,487
article_backup7_43414,claude-sonnet-4-5,12.0,7.0,10.0,12.0,11.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,climate_energy,511
article_backup7_43414,gpt-4.1,10.0,6.0,10.0,10.0,10.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,climate_energy,511
article_backup7_4386,claude-sonnet-4-5,11.0,6.0,9.0,11.0,9.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Left,Left,economy,889
article_backup7_4386,gpt-4.1,5.0,7.0,3.0,7.0,7.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Left,Left,economy,889
article_backup7_4683,claude-sonnet-4-5,10.0,7.0,12.0,9.0,10.0,Left,Left,Left,Left,Left,10,0.0,0.1,Left,Left,social_culture_rights,765
article_backup7_4683,gpt-4.1,8.0,10.0,9.0,9.0,11.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,social_culture_rights,765
article_backup7_50218,claude-sonnet-4-5,5.0,0.0,4.0,7.0,6.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.0,0.1,Lean Right,Right,economy,576
article_backup7_50218,gpt-4.1,3.0,2.0,0.0,4.0,3.0,Center,Center,Center,Center,Lean Left,10,0.0,0.2,Lean Right,Right,economy,576
article_backup7_50964,claude-sonnet-4-5,11.0,7.0,8.0,24.0,14.0,Left,Left,Left,Left,Left,10,0.0,0.1,Lean Left,Left,climate_energy,1172
article_backup7_50964,gpt-4.1,12.0,21.0,12.0,14.0,7.0,Left,Left,Left,Left,Left,10,0.0,0.0,Lean Left,Left,climate_energy,1172
article_backup7_5215,claude-sonnet-4-5,17.0,10.0,20.0,12.0,18.0,Right,Right,Right,Right,Right,10,0.3,0.0,Lean Right,Right,crime_justice,997
article_backup7_5215,gpt-4.1,9.0,6.0,9.0,18.0,9.0,Lean Right,Lean Right,Lean Right,Lean Right,Right,10,0.0,0.0,Lean Right,Right,crime_justice,997
article_backup7_55602,claude-sonnet-4-5,15.0,8.0,8.0,13.0,15.0,Right,Right,Right,Right,Right,10,0.2,0.0,Right,Right,social_culture_rights,732
article_backup7_55602,gpt-4.1,11.0,9.0,8.0,9.0,8.0,Right,Right,Right,Right,Right,10,0.2,0.0,Right,Right,social_culture_rights,732
article_backup7_56995,claude-sonnet-4-5,6.0,5.0,5.0,6.0,5.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.5,Lean Left,Left,climate_energy,753
article_backup7_56995,gpt-4.1,5.0,4.0,0.0,6.0,5.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Left,Left,climate_energy,753
article_backup7_607,claude-sonnet-4-5,7.0,5.0,6.0,10.0,10.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,social_culture_rights,1345
article_backup7_607,gpt-4.1,13.0,7.0,5.0,13.0,8.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,social_culture_rights,1345
article_backup7_62487,claude-sonnet-4-5,0.0,0.0,0.0,0.0,2.0,Lean Left,Lean Left,Lean Left,Center,Center,9,0.1111111111111111,0.1111111111111111,Center,Center,climate_energy,1173
article_backup7_62487,gpt-4.1,0.0,0.0,0.0,0.0,0.0,Center,Center,Center,Center,Center,5,0.0,0.6,Center,Center,climate_energy,1173
article_backup7_6321,claude-sonnet-4-5,14.0,11.0,11.0,21.0,15.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,crime_justice,1168
article_backup7_6321,gpt-4.1,15.0,9.0,17.0,14.0,11.0,Lean Right,Right,Right,Right,Right,10,0.1,0.0,Right,Right,crime_justice,1168
article_backup7_64099,claude-sonnet-4-5,7.0,7.0,11.0,10.0,8.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Left,Left,foreign_defense,1080
article_backup7_64099,gpt-4.1,8.0,8.0,14.0,16.0,8.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Left,Left,foreign_defense,1080
article_backup7_72067,claude-sonnet-4-5,9.0,6.0,4.0,9.0,10.0,Right,Right,Right,Right,Right,10,0.3,0.0,Right,Right,foreign_defense,765
article_backup7_72067,gpt-4.1,8.0,5.0,0.0,7.0,7.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,foreign_defense,765
article_backup7_79597,claude-sonnet-4-5,9.0,6.0,3.0,5.0,8.0,Center,Center,Center,Center,Center,10,0.0,0.0,Lean Left,Left,foreign_defense,1191
article_backup7_79597,gpt-4.1,6.0,6.0,3.0,5.0,5.0,Center,Center,Center,Center,Center,10,0.0,0.0,Lean Left,Left,foreign_defense,1191
article_backup7_821,claude-sonnet-4-5,15.0,15.0,16.0,18.0,24.0,Right,Right,Right,Right,Right,10,0.1,0.0,Right,Right,foreign_defense,798
article_backup7_821,gpt-4.1,20.0,14.0,16.0,15.0,10.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,foreign_defense,798
article_backup7_8351,claude-sonnet-4-5,8.0,6.0,11.0,12.0,10.0,Left,Left,Left,Left,Left,10,0.0,0.1,Left,Left,health_education,978
article_backup7_8351,gpt-4.1,9.0,6.0,11.0,8.0,7.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,health_education,978
article_backup7_93793,claude-sonnet-4-5,5.0,3.0,0.0,5.0,5.0,Center,Lean Left,Center,Center,Center,10,0.0,0.2,Lean Left,Left,health_education,732
article_backup7_93793,gpt-4.1,4.0,3.0,0.0,4.0,3.0,Lean Left,Lean Left,Center,Center,Lean Left,10,0.0,0.0,Lean Left,Left,health_education,732
article_backup7_946,claude-sonnet-4-5,10.0,7.0,9.0,10.0,11.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,economy,1156
article_backup7_946,gpt-4.1,8.0,5.0,5.0,10.0,9.0,Left,Left,Left,Left,Left,10,0.1,0.0,Left,Left,economy,1156
article_backup7_96330,claude-sonnet-4-5,7.0,7.0,8.0,11.0,9.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,crime_justice,602
article_backup7_96330,gpt-4.1,8.0,6.0,10.0,9.0,8.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,crime_justice,602
article_backup7_9752,claude-sonnet-4-5,0.0,0.0,0.0,6.0,5.0,Center,Center,Center,Center,Center,10,0.0,0.0,Lean Left,Left,elections_governance,624
article_backup7_9752,gpt-4.1,4.0,3.0,3.0,5.0,4.0,Center,Center,Center,Center,Center,10,0.0,0.0,Lean Left,Left,elections_governance,624
article_backup7_98512,claude-sonnet-4-5,6.0,5.0,5.0,8.0,7.0,Left,Left,Left,Left,Lean Left,10,0.0,0.2,Lean Right,Right,social_culture_rights,691
article_backup7_98512,gpt-4.1,3.0,4.0,2.0,5.0,6.0,Left,Left,Left,Lean Left,Left,10,0.1,0.0,Lean Right,Right,social_culture_rights,691
article_backup7_99156,claude-sonnet-4-5,6.0,6.0,0.0,7.0,5.0,Left,Left,Left,Left,Left,10,0.0,0.1,Left,Left,economy,516
article_backup7_99156,gpt-4.1,5.0,3.0,0.0,6.0,5.0,Lean Left,Left,Lean Left,Left,Left,10,0.0,0.0,Left,Left,economy,516
